Link ID,Start Node ,Start Node Eastings,Start Node Northings,End Node,End Node Eastings,End Node Northings,Region,Road Type
50058-50045,50058,114.1530696,22.2870174,50045,114.1506607,22.28776386,HK,MAJOR ROUTE
50059-50058,50059,114.153534,22.28686612,50058,114.1530696,22.2870174,HK,MAJOR ROUTE
50076-7881,50076,114.1796235,22.28147527,7881,114.1800256,22.28195671,HK,MAJOR ROUTE
50076-7883,50076,114.1796235,22.28147527,7883,114.1800639,22.28189253,HK,MAJOR ROUTE
50078-50079,50078,114.177175,22.27990939,50079,114.1776605,22.28008853,HK,MAJOR ROUTE
50079-50076,50079,114.1776623,22.28008858,50076,114.1796235,22.28147527,HK,MAJOR ROUTE
50098-50099,50098,114.1811181,22.27707468,50099,114.1811441,22.27764749,HK,MAJOR ROUTE
50099-787,50099,114.1811441,22.27764749,787,114.180648,22.28066998,HK,MAJOR ROUTE
50106-8212,50106,114.2113127,22.29116627,8212,114.2072776,22.29324043,HK,MAJOR ROUTE
50107-50109,50107,114.2113764,22.29126286,50109,114.2118772,22.29095486,HK,MAJOR ROUTE
50108-50106,50108,114.2117649,22.29087797,50106,114.2113127,22.29116627,HK,MAJOR ROUTE
50109-910,50109,114.2118772,22.29095486,910,114.2136717,22.29003406,HK,MAJOR ROUTE
50119-930,50119,114.2213435,22.28546826,930,114.2178973,22.28879695,HK,MAJOR ROUTE
50178-50019,50178,114.177162,22.27976172,50019,114.1723711,22.27916871,HK,MAJOR ROUTE
50179-50178,50179,114.1777957,22.27993524,50178,114.177162,22.27976172,HK,MAJOR ROUTE
78201-88820,78201,114.1686315,22.29998301,88820,114.1679676,22.30165065,K,URBAN ROAD
88801-36821,88801,114.1668217,22.31474503,36821,114.1671724,22.31223613,K,MAJOR ROUTE
88803-34781,88803,114.1787275,22.30569693,34781,114.178139,22.3058505,K,URBAN ROAD
88805-34551,88805,114.1787738,22.30586151,34551,114.1798367,22.30621032,K,URBAN ROAD
88806-88807,88806,114.1783619,22.32392262,88807,114.1783357,22.32355201,K,URBAN ROAD
88807-3506,88807,114.1783357,22.32355201,3506,114.1789532,22.31826816,K,URBAN ROAD
88807-35071,88807,114.1783357,22.32355201,35071,114.1781389,22.32193117,K,URBAN ROAD
